id,contact_id,location_id,organization_id,service_id,country_prefix,department,extension,number,number_type,vanity_number
1,1,1001,2001,3001,+1,Sales,101,555-1234,Office,555-SALE
2,2,1002,2002,3002,+1,Marketing,102,555-5678,Office,555-MARK
3,3,1003,2003,3003,+1,Engineering,103,555-8765,Mobile,555-ENGG
4,4,1004,2004,3004,+1,HR,104,555-4321,Office,555-HRHR
5,5,1005,2005,3005,+1,Finance,105,555-6789,Office,555-FINA
6,6,1006,2006,3006,+1,Consulting,106,555-9876,Mobile,555-CONS
7,7,1007,2007,3007,+1,IT,107,555-3456,Office,555-TECH
8,8,1008,2008,3008,+1,Support,108,555-7890,Mobile,555-SPPT
9,9,1009,2009,3009,+1,Operations,109,555-6543,Office,555-OPER
10,10,1010,2010,3010,+1,Administration,110,555-0987,Mobile,555-ADMN
11,11,1011,2011,3011,+1,Design,111,555-1122,Office,555-DESN
12,12,1012,2012,3012,+1,Customer Service,112,555-2211,Office,555-CSRV
13,13,1013,2013,3013,+1,Development,113,555-3344,Mobile,555-DEVL
14,14,1014,2014,3014,+1,Compliance,114,555-4433,Office,555-CMPL
15,15,1015,2015,3015,+1,Legal,115,555-5566,Mobile,555-LEGL
16,16,1016,2016,3016,+1,Research,116,555-6655,Office,555-RSRC
17,17,1017,2017,3017,+1,Strategy,117,555-7788,Office,555-STRA
18,18,1018,2018,3018,+1,Communications,118,555-8877,Mobile,555-COMM
19,19,1019,2019,3019,+1,Product,119,555-9900,Office,555-PRDT
20,20,1020,2020,3020,+1,Security,120,555-0099,Mobile,555-SECU
